iter	Passed	Remaining
0	6	1286
1	12	1279
2	19	1256
3	25	1234
4	31	1231
5	37	1222
6	44	1217
7	50	1211
8	56	1205
9	62	1196
10	69	1199
11	75	1190
12	82	1182
13	88	1174
14	94	1166
15	101	1163
16	107	1156
17	113	1150
18	120	1143
19	126	1137
20	132	1130
21	139	1124
22	145	1119
23	152	1117
24	158	1111
25	165	1105
26	171	1098
27	177	1091
28	183	1084
29	190	1079
30	196	1072
31	203	1067
32	209	1061
33	216	1055
34	222	1049
35	229	1046
36	236	1042
37	243	1039
38	251	1036
39	258	1033
40	265	1030
41	272	1025
42	279	1022
43	287	1018
44	295	1016
45	302	1012
46	309	1008
47	316	1003
48	325	1001
49	333	999
50	341	997
51	349	995
52	357	992
53	365	987
54	372	981
55	379	975
56	386	969
57	393	963
58	400	957
59	407	951
60	415	946
61	422	940
62	429	933
63	436	927
64	443	921
65	451	915
66	458	910
67	466	905
68	473	898
69	480	892
70	487	886
71	494	879
72	501	873
73	509	866
74	516	861
75	523	854
76	530	846
77	537	840
78	543	832
79	550	825
80	557	818
81	564	812
82	570	804
83	577	796
84	583	789
85	590	782
86	597	776
87	604	769
88	611	763
89	619	756
90	626	750
91	633	744
92	641	737
93	648	731
94	655	724
95	662	717
96	668	710
97	675	702
98	681	695
99	687	687
100	693	679
101	699	672
102	705	664
103	712	657
104	718	650
105	725	643
106	731	635
107	737	628
108	743	620
109	750	613
110	756	606
111	762	599
112	769	592
113	775	584
114	782	578
115	789	571
116	796	565
117	804	558
118	811	552
119	818	545
120	825	539
121	832	532
122	839	525
123	846	519
124	854	512
125	862	506
126	869	499
127	876	492
128	883	486
129	891	479
130	898	473
131	904	466
132	910	458
133	916	451
134	923	444
135	929	437
136	935	430
137	941	423
138	948	416
139	954	409
140	961	402
141	967	395
142	974	388
143	981	381
144	987	374
145	993	367
146	1000	360
147	1006	353
148	1012	346
149	1018	339
150	1026	332
151	1032	326
152	1038	319
153	1045	312
154	1051	305
155	1058	298
156	1064	291
157	1070	284
158	1077	277
159	1084	271
160	1090	264
161	1096	257
162	1103	250
163	1109	243
164	1116	236
165	1122	229
166	1128	223
167	1134	216
168	1141	209
169	1147	202
170	1153	195
171	1160	188
172	1166	182
173	1172	175
174	1178	168
175	1185	161
176	1192	154
177	1198	148
178	1205	141
179	1211	134
180	1218	127
181	1226	121
182	1233	114
183	1240	107
184	1248	101
185	1255	94
186	1262	87
187	1269	81
188	1276	74
189	1283	67
190	1290	60
191	1297	54
192	1305	47
193	1312	40
194	1319	33
195	1326	27
196	1333	20
197	1340	13
198	1348	6
199	1355	0
